Service,Service Date,Description,Amount,Class,Invoice No.,Customer,Invoice Date,Due Date
Turn Clean,08/09/2026,Reis Perry 3240,$410.00,Reis Perry 3240,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Hali Hoag 2140,$200.00,Hali Hoag 2140,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Izzy Ludwick 2084,$168.00,Izzy Ludwick 2084,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Kachi Nwabuko 2087,$335.00,Kachi Nwabuko 2087,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Mike Gunter 2691-8,$99.00,Mike Gunter 2691-8,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Lewis Anderson 2691,$100.00,Lewis Anderson 2691,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Sridhar Kodati 2951,$325.00,Sridhar Kodati 2951,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Brendan Smith 4386,$304.00,Brendan Smith 4386,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Dustin Francis 3213,$170.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Kristen Cannon 428,$315.00,Kristen Cannon 428,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Jason Whitehead 659,$235.00,Jason Whitehead 659,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Robert Miller 191,$150.00,Robert Miller 191,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,James Nipper 3029-3,$220.00,James Nipper 3029-3,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Grant Chamberlain 3613,$303.52,Grant Chamberlain 3613,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Duane Reeder 136,$280.00,Duane Reeder 136,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Annie Wang 904,$290.00,Annie Wang 904,1085,Haven,08/10/2026,08/10/2026
Excessive Trash Pickup,08/09/2026,Nicole Morris 813,$50.00,Nicole Morris 813,1085,Haven,08/10/2026,08/10/2026
